CURIE,Label,Type,Definition,Parent,Disjoint classes,Inverse property,Domain,Range,isPerformedAt,isPerformedOn,hasLocation,isResultOf,hasResult,hasSample,isSampleOf,ProcessInvolved,conductsExperimentsIn,hasSampleType,hasSampleID,isCollectedFrom,isMeasuredIn,isControlledByDevice,isMeasuredByDevice,makesMeasurement,hasMeasurement,isMeasurementOf,relatesToMeasurement,relatesToProperty,measuresProperty,detectProperty,isPropertyOf,hasProperty,hasSensorType,base_name,base_value,has_value,has_version,name,update_time
http://purl.obolibrary.org/obo/CHEBI_32879,propane,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_33655,aromatic compound,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_37808,butane,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHEBI_63248,oxidising agent,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://semanticscience.org/resource/SIO_000770,StandardDeviation,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://semanticscience.org/resource/SIO_001109,Mean,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/ViableCount,TVC,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ontology-of-units-of-measure.org/resource/om-2/Wavelength,Wavelength,class,,Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHMO_0000937,Reflectance,class,,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHMO_0000801,Absorbance,class,,Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01001406,Laboratory,class,,,,,,,,,Location,,,,,,Cattle| Distributor| Farm| Fishery| Poultry| Retailer| SlaughterHouse| Processor,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/BFO_0000015,Process,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0000185,ImagingSpectroscopy,class,,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/CHMO_0001000,Chromatography,class,,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C48807,Chemical,class,,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C25341,Location,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C25407,Address,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/NCIT_C42775,E-mail Address,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasLocation,hasLocation,object property,"The location of, for example, where an event is happening, where an organization is located, or where an action takes place.",,,,,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasLatitude,hasLatitude,data property,The latitude of a location. For example 37.42242 (WGS 84).,,,,Location,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasLongitude,hasLongitude,data property,The longitude of a location. For example -122.08585 (WGS 84).,,,,Location,rdfs:Literal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://purl.archive.org/purl/fsmon/Ontology#hasAddress,hasAddress,object property,"The address of an geographical entity, for example, address of an organization",,,,,Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
